Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Daily Change (%),Percent Change
2023-12-29,1129.93,1129.93,1(0.09 %),621075896,13187175996210.0,81708666,2399367003790,1131.75,1135.05,1129.93,-0.16081290037551899,
2023-12-28,1128.93,1128.93,6.94(0.62 %),614925999,13076662412550.0,84624950,2143862587450,1122.57,1130.58,1120.5,0.5665570966621349,-0.08850105758764215
2023-12-27,1121.99,1121.99,-0.26(-0.02 %),570737700,12204335984740.0,178938561,6423486015260,1123.28,1126.47,1121.99,-0.11484224770315181,-0.6147413922918177
2023-12-26,1122.25,1122.25,4.59(0.41 %),575288899,13037417191040.0,55982754,1306278808960,1120.11,1123.11,1117.93,0.19105266447046274,0.023173112059815537
2023-12-25,1117.66,1117.66,14.6(1.32 %),551279599,12041982371300.0,105707835,3068383628700,1104.27,1118.31,1104.27,1.212565767430076,-0.4089997772332321
2023-12-22,1103.06,1103.06,0.63(0.06 %),496344599,10629499697350.0,61286748,1617353302650,1103.08,1104.65,1099.32,-0.001813105123833431,-1.3063006638870611
2023-12-21,1102.43,1102.43,1.67(0.15 %),451416808,9698977413800.0,66091208,1464125586200,1096.22,1102.43,1094.47,0.5664921274926599,-0.05711384693487531
2023-12-20,1100.76,1100.76,4.46(0.41 %),470477400,9584170056010.0,126698009,3662166943990,1098.1,1102.27,1093.38,0.24223659047446336,-0.1514835409050952
2023-12-19,1096.3,1096.3,4.42(0.40 %),562157577,10903689043150.0,84199192,1820661956850,1091.26,1096.3,1082.29,0.46185143778750837,-0.4051746066354167
2023-12-18,1091.88,1091.88,-10.42(-0.95 %),544995667,10491525207830.0,0,0,1103.36,1103.74,1091.45,-1.040458236658914,-0.4031743136002741
2023-12-15,1102.3,1102.3,-7.83(-0.71 %),684449897,14166708285200.0,64980400,1709065714800,1109.51,1112.79,1102.3,-0.6498364142729706,0.9543173242480663
