tradeDate,Open,Low,High,Close,Volume
2020-01-02,114.4,114.2,115.0,115.0,4402.8
2020-01-03,115.0,114.3,115.3,115.3,2489.4
2020-01-06,115.0,114.4,115.0,114.5,3019.1
2020-01-07,114.5,114.3,115.0,114.7,1839.1
2020-01-08,114.5,113.6,114.7,114.3,4689.1
2020-01-09,114.3,114.2,115.1,114.7,2738.7
2020-01-10,115.0,114.7,115.0,114.8,1591.2
2020-01-13,114.7,114.5,115.1,114.9,1466.8
2020-01-14,115.1,114.3,115.1,115.0,1011.5
2020-01-15,115.0,114.3,115.0,115.0,2056.0
2020-01-16,115.0,114.3,115.0,115.0,1867.4
2020-01-17,115.0,114.4,115.1,114.9,1691.0
2020-01-20,114.9,114.3,114.9,114.9,3706.7
2020-01-21,114.3,114.3,115.0,114.9,1815.1
2020-01-22,114.9,114.2,114.9,114.9,3717.8
2020-01-23,114.9,114.9,114.9,114.9,371.78
2020-01-24,114.9,114.9,114.9,114.9,371.78
2020-01-27,114.9,114.9,114.9,114.9,371.78
2020-01-28,114.9,114.9,114.9,114.9,371.78
2020-01-29,114.9,114.9,114.9,114.9,371.78
2020-01-30,114.1,112.5,114.9,114.9,6827.2
2020-01-31,114.9,113.6,114.9,114.8,8317.4
2020-02-03,113.8,112.3,114.8,114.8,7604.2
2020-02-04,113.6,111.8,114.8,114.8,14855.0
2020-02-05,114.8,113.0,114.8,114.5,4684.2
2020-02-06,114.5,112.8,114.7,114.4,6762.9
2020-02-07,114.0,112.0,114.4,114.4,12955.2
2020-02-10,113.0,113.0,114.1,113.7,1927.0
2020-02-11,113.5,113.0,114.2,113.4,2906.3
2020-02-12,113.0,112.0,113.4,112.0,4527.9
2020-02-13,111.5,111.4,112.7,112.4,2853.4
2020-02-14,112.3,109.8,112.6,110.0,2523.9
2020-02-17,110.0,105.0,110.0,108.0,7422.2
2020-02-18,107.0,104.0,107.0,104.5,7918.7
2020-02-19,103.5,103.5,107.0,105.0,8753.2
2020-02-20,105.0,105.0,110.0,110.0,3535.7
2020-02-21,108.6,107.8,110.0,109.9,3090.6
2020-02-24,107.1,105.5,108.0,107.3,14286.5
2020-02-25,106.7,106.0,107.3,107.0,5438.2
2020-02-26,104.0,104.0,106.6,105.9,6254.1
2020-02-27,105.2,104.6,105.9,105.6,740.42
2020-02-28,105.0,103.0,105.4,105.4,8708.4
2020-03-02,104.0,102.7,105.4,105.4,7421.3
2020-03-03,105.1,104.5,105.6,105.5,5579.5
2020-03-04,104.6,103.5,105.5,105.5,4438.1
2020-03-05,105.1,103.8,105.9,105.6,3523.0
2020-03-06,105.0,103.1,105.0,105.0,7508.3
2020-03-09,101.5,97.7,102.0,97.7,9668.9
2020-03-10,93.0,91.2,99.2,97.7,8254.9
2020-03-11,98.0,91.1,98.0,97.0,10495.8
2020-03-13,86.0,85.4,92.5,92.5,12268.8
2020-03-16,92.0,86.6,92.5,92.5,9713.4
2020-03-17,89.5,87.6,92.3,88.5,6813.3
2020-03-19,86.9,83.1,88.7,88.7,11036.8
2020-03-20,88.7,82.5,88.7,82.5,10834.8
2020-03-23,78.0,76.8,78.3,76.8,6781.6
2020-03-24,71.8,71.5,75.0,71.5,14740.5
2020-03-25,66.5,66.5,76.5,76.5,14015.7
2020-03-26,77.6,75.6,81.8,81.8,12422.5
2020-03-27,82.0,79.5,87.4,86.8,11493.1
2020-03-30,80.8,80.8,82.0,81.4,8812.4
2020-03-31,81.4,80.4,87.0,83.4,12964.5
2020-04-01,82.5,81.0,87.0,86.0,4378.2
2020-04-02,86.0,86.0,86.0,86.0,437.82
2020-04-03,86.0,86.0,91.0,91.0,11845.0
2020-04-06,92.0,91.3,97.3,97.3,26982.6
2020-04-07,97.6,93.0,100.5,97.3,28557.0
2020-04-08,94.4,94.0,97.0,94.0,7601.2
2020-04-09,94.2,93.8,97.3,96.0,15606.1
2020-04-10,96.0,93.7,96.8,95.0,9831.2
2020-04-13,95.0,94.9,96.0,96.0,14115.5
2020-04-14,96.5,94.5,96.5,95.6,6316.3
2020-04-15,95.6,95.0,96.0,96.0,11768.5
2020-04-16,96.0,94.7,96.0,95.9,8455.8
2020-04-17,95.1,89.2,96.1,96.1,11915.1
2020-04-20,82.5,82.5,96.4,96.2,10834.8
2020-04-21,95.5,92.5,95.5,93.0,8922.7
2020-04-22,92.0,90.5,92.8,92.5,8840.7
2020-04-23,93.0,92.7,94.9,93.0,3474.2
2020-04-24,93.0,92.4,93.9,93.0,3002.4
2020-04-27,96.4,92.0,96.4,92.0,4537.2
2020-04-29,92.4,90.5,93.4,91.9,3144.0
2020-04-30,91.9,91.9,91.9,91.9,314.4
2020-05-01,91.9,91.9,91.9,91.9,314.4
2020-05-04,91.9,90.0,92.5,91.8,2595.5
2020-05-05,91.8,91.8,93.0,92.7,2747.0
2020-05-06,92.6,92.5,95.0,95.0,7735.7
2020-05-07,95.0,94.0,96.0,96.0,6178.0
2020-05-08,96.5,96.1,100.0,97.5,16839.6
2020-05-11,98.0,95.9,98.0,97.5,13589.2
2020-05-12,97.4,95.0,97.4,97.0,7700.3
2020-05-13,97.0,91.5,97.0,95.0,26525.3
2020-05-14,95.0,93.9,96.6,96.0,10028.1
2020-05-15,96.0,95.9,97.5,97.0,3276.5
2020-05-19,97.1,96.0,97.4,96.5,7298.5
2020-05-20,96.4,96.1,97.0,96.6,2547.3
2020-05-21,97.0,96.9,98.0,98.0,6743.8
2020-05-22,98.0,96.4,98.0,96.4,2929.3
2020-05-25,96.2,96.0,97.5,97.1,2164.0
2020-05-26,97.0,96.4,97.5,96.9,3600.0
2020-05-27,96.9,96.5,97.9,96.9,5914.4
2020-05-28,96.9,96.3,97.5,97.0,3147.9
2020-05-29,97.0,96.6,97.5,97.0,4935.0
2020-06-01,97.0,96.5,97.2,97.2,4814.9
2020-06-02,97.4,96.5,97.4,96.7,5017.0
